"218","Alvin","A","1"
"219","Alvis","A","1"
"220","Alwyn","A","1"
"221","Amadeo","A","1"
"222","Amadeus","A","1"
"223","Amadi","A","1"
"224","Amado","A","1"
"225","Amael","A","1"
"226","Amahl","A","1"
"227","Amar","A","1"
"228","Amare","A","1"
"229","Amari","A","1"
"230","Amarjeet","A","1"
"231","Amato","A","1"
"232","Amatus","A","1"
"233","Amaury","A","1"
"234","Amazu","A","1"
"235","Ambrose","A","1"
"236","Amedee","A","1"
"237","Amedeo","A","1"
"238","Amedeus","A","1"
"239","Ameer","A","1"
"240","Amen","A","1"
"241","America","A","1"
"242","Ames","A","1"
"243","Ami","A","1"
"244","Amias","A","1"
"245","Amiel","A","1"
"246","Amil","A","1"
"247","Amin","A","1"
"248","Amir","A","1"
"249","Amis","A","1"
"250","Amit","A","1"
"251","Ammiras","A","1"
"252","Amon","A","1"
"253","Amory","A","1"
"254","Amos","A","1"
"255","Amphion","A","1"
"256","Amsterdam","A","1"
"257","Amyas","A","1"
"258","Amyntor","A","1"
"259","Amzi","A","1"
"260","Anaca","A","1"
"261","Anakin","A","1"
"262","Anan","A","1"
"263","Anastasios","A","1"
"264","Anatole","A","1"
"265","Anchor","A","1"
"266","Anders","A","1"
"267","Anderson","A","1"
"268","Andoni","A","1"
"269","Andor","A","1"
"270","Andre","A","1"
"271","Andrea","A","1"
"272","Andreas","A","1"
"273","Andres","A","1"
"274","Andrew","A","1"
"275","Androcles","A","1"
"276","Andrus","A","1"
"277","Anduin","A","1"
"278","Andy","A","1"
"279","Aneirin","A","1"
"280","Aneurin","A","1"
"281","Angaros","A","1"
"282","Angel","A","1"
"283","Angelico","A","1"
"284","Angelo","A","1"
"285","Angie","A","1"
"286","Angus","A","1"
"287","Anish","A","1"
"288","Anne","A","1"
"289","Anse","A","1"
"290","Ansel","A","1"
"291","Anselm","A","1"
"292","Anselmo","A","1"
"293","Anson","A","1"
"294","Antares","A","1"
"295","Anthem","A","1"
"296","Anthony","A","1"
"297","Antoine","A","1"
"298","Anton","A","1"
"299","Antonin","A","1"
"300","Antonio","A","1"
"301","Antonius","A","1"
"302","Anwar","A","1"
"303","Anzac","A","1"
"304","Aodh","A","1"
"305","Aoibheann","A","1"
"306","Apollinaire","A","1"
